temperature_K,G1_h,G1_k,G1_l,G1_Qx_invA,G1_Qy_invA,G1_Qz_invA,"zero_phonon_intensity_G(1,0,0)","dw_factor_G(1,0,0)_atom1_Mo","dw_factor_G(1,0,0)_atom2_S","dw_factor_G(1,0,0)_atom3_S",G2_h,G2_k,G2_l,G2_Qx_invA,G2_Qy_invA,G2_Qz_invA,"zero_phonon_intensity_G(1,1,0)","dw_factor_G(1,1,0)_atom1_Mo","dw_factor_G(1,1,0)_atom2_S","dw_factor_G(1,1,0)_atom3_S"
0.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,35.8062842422945,0.9936454143204636,0.9855124297352786,0.9855124297352786,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,45.015963873669165,0.9810571286363551,0.9571639174914762,0.9571639174914762
50.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,35.57018543034645,0.9914072054157649,0.981575143212372,0.9815751432123722,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,44.180752912945316,0.9744424901463864,0.9457376008974268,0.9457376008974269
100.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,35.138699041403214,0.9871862841859911,0.9744095776187617,0.9744095776187618,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,42.675452947045905,0.9620493225986255,0.9251765836201706,0.9251765836201707
150.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,34.64050192334218,0.9823512995242529,0.96601939305544,0.96601939305544,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,40.98264511282622,0.9479828313042609,0.901482987333192,0.9014829873331921
200.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,34.117855059153065,0.9772959702547822,0.9570968751979474,0.9570968751979475,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,39.256736377585035,0.9334226263557253,0.8767336891107839,0.8767336891107841
250.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,33.588291881796145,0.9721525743438099,0.9479522388462119,0.9479522388462119,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,37.557694142406085,0.918762565287492,0.851842629075541,0.8518426290755412
300.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,33.05950331525096,0.9669749966052995,0.9387265097574392,0.9387265097574393,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,35.9095381098433,0.9041609236226992,0.827212803421242,0.8272128034212423
350.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,32.53517068169311,0.9617886847713717,0.9294893743486701,0.9294893743486702,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,34.32198986434119,0.8896905756392313,0.803032806960416,0.8030328069604163
400.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,32.017187271237624,0.9566070344414627,0.9202782278912638,0.9202782278912639,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,32.79854453752971,0.8753882449524191,0.7793946899483548,0.779394689948355
450.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,31.506571445965736,0.9514376895016521,0.9111145195103663,0.9111145195103664,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,31.339753166477756,0.8612734381181831,0.7563431932963943,0.7563431932963948
500.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,31.0038783852979,0.94628528545123,0.9020111903203463,0.9020111903203464,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,29.944690499847525,0.8473566865575105,0.7338981218207026,0.7338981218207027
550.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,30.509401875662697,0.9411527664306997,0.8929763385235557,0.892976338523556,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,28.611667582992734,0.833643502213067,0.712065352052255,0.7120653520522554
600.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,30.023280421662186,0.9360420688018092,0.88401515379785,0.8840151537978501,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,27.33860164200438,0.8201364299095173,0.690842630703183,0.6908426307031834
650.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,29.545556433873667,0.9309544991884159,0.8751309993634256,0.8751309993634258,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,26.123218521953643,0.80683618180924,0.6702228092285082,0.6702228092285084
700.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,29.076210919250602,0.925890954810734,0.86632604781267,0.8663260478126702,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,24.963168060080626,0.7937422981479457,0.6501957367778275,0.6501957367778279
750.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,28.615184682863017,0.9208520576893274,0.8576016707288622,0.8576016707288623,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,23.856091765151223,0.7808535492850722,0.6307494133525353,0.6307494133525356
800.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,28.162391756201945,0.9158382395110557,0.8489586861909894,0.8489586861909895,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,22.799663203123025,0.7681681895908827,0.611870716260881,0.6118707162608814
850.0,1.0,0.0,0.0,1.9733210273208233,1.1392974262723508,0.0,27.717728166002484,0.9108497970554418,0.8403975209849683,0.8403975209849684,1.0,1.0,0.0,1.9733210273208233,3.417892278888615,0.0,21.79161218246526,0.7556841229386244,0.5935458707203461,0.5935458707203467
